Scientific name,Order,Flightless,Extinct,Humerus,Tarsometatarsus
Aceros undulatus,Bucerotiformes,no,no,121.1,59.1
Aegolius gradyi,Strigiformes,no,yes,43.65,23.4
Alopochen kervazoi,Anseriformes,no,yes,126,80.5
Amplibuteo woodwardi,Accipitriformes,no,yes,207,131.6
Anas americana,Anseriformes,no,no,81.9,37.5
Anas americana,Anseriformes,no,no,80.7,38.2
Anas clypeata,Anseriformes,no,no,76.3,38.3
Anas discors,Anseriformes,no,no,62.3,31.6
Anas marecula,Anseriformes,yes,yes,42,29.5
Anas sibilatrix,Anseriformes,no,no,85.5,41
Anas strepera,Anseriformes,no,no,88,41.2
Anas theodori,Anseriformes,no,yes,74,42
Anas zonorhyncha,Anseriformes,no,no,92.1,45.1
Anser caerulescens,Anseriformes,no,no,147.4,81.9
Anser canagicus,Anseriformes,no,no,140.9,69.2
Anser cygnoid,Anseriformes,no,no,158.9,82.3
Anser rossii,Anseriformes,no,no,126.6,69.2
Anurolimnas viridis,Gruiformes,no,no,27.1,36.4
Aphanapteryx bonasia,Gruiformes,yes,yes,63,79
Megadyptes waitaha,Sphenisciformes,yes,yes,72.2,33.4
Apteribis glenos,Pelecaniformes,yes,yes,65.5,57
Aquila nipaloides,Accipitriformes,no,yes,187.7,112.1
Asphaltoglaux cecileae,Strigiformes,no,yes,43.2,23.4
Athene angelis,Strigiformes,no,yes,56.7,39.4
Biziura delautouri,Anseriformes,no,yes,107.5,58.3
Bubo insularis,Strigiformes,no,yes,120.7,63.6
Bulweria bifax,Procellariiformes,no,yes,73.2,29.4
Buteogallus borrasi,Accipitriformes,no,yes,178.4,163.6
Cabalus modestus,Gruiformes,yes,yes,24.7,28.8
Charadrius morinellus,Charadriiformes,no,no,39.9,36.2
Columba thiriouxi,Columbiformes,no,yes,38.9,28.1
Coracias caudata,Coraciiformes,no,no,47.8,22.6
Corvus impluviatus,Passeriformes,no,yes,79.1,71.4
Corvus viriosus,Passeriformes,no,yes,73.4,69.1
Cryptopsar ischyrhynchus,Passeriformes,no,yes,33.5,39
Dryocopus pileatus,Piciformes,no,no,54,35
Dryolimnas augusti,Gruiformes,yes,yes,48,53
Erythromachus leguati,Gruiformes,yes,yes,47.5,56
Caprimulgus vociferus,Caprimulgiformes,no,no,30.4,16.9
Falco kurochkini,Falconiformes,no,yes,47.7,49.6
Falco novaeseelandiae,Falconiformes,no,no,73.8,74.8
